dummy ein,status,instrumentDesc,serialNum,calInterval,siteCode,owner,project,manufacturer,iso,calJob,calPlace,calCost,dateReceived,id,ein_new,dateCompleted,jobStatus,calCurrency,incomingShip,outgoingShip
23121,Approved,Datapaq Q18,XKT48VQH2CS,12,RSE,Emerson,Honeywell,Borland,NO,External,In-site,3.65,05/13/2019,1,1123121,,Completed,,,
55060,In review,Fluke115,TMO79TQE1DO,6,SS,Marsden,Honeywell,Macromedia,YES,Internal,Site,7.88,05/13/2019,2,1155060,,Completed,,,
84798,Completed,Fluke115,BNI04WRA2OZ,6,ISL,Xandra,PP,Yahoo,NO,Internal,Site,8.28,05/13/2019,3,1184798,,Completed,,,
53346,In review,Datapaq Q18,FJW51ESH5OV,6,RSE,Ciaran,Honeywell,Borland,YES,Internal,Site,4.18,05/13/2019,4,1153346,,Completed,,,
84346,Completed,Tenma DMM,IPA65BCC1ZM,12,HS,Lacey,Honeywell,Macromedia,NO,External,Site,8.78,05/14/2019,5,1184346,,Completed,,,
92065,Approved,Tenma DMM,CPD08YAI4OZ,3,RS,James,PP,Cakewalk,NO,External,In-site,5.81,05/14/2019,6,1192065,,Completed,,,
91113,Completed,Fluke117,EZW59FER6VJ,12,ISL,Kellie,PP,Microsoft,YES,External,Site,3.04,05/14/2019,7,1191113,,Completed,,,
75756,Approved,Tenma DMM,WRT79BBI6TV,3,SS,MacKensie,PP,Adobe,NO,Internal,In-site,7.84,05/14/2019,8,1175756,,Completed,,,
28390,In review,Caliper,HKP95CBH0LI,3,ISL,Cassidy,Keysight,Borland,YES,External,In-site,1.39,05/14/2019,9,1128390,,Completed,,,
93222,In review,Datapaq Q18,FTG75KJW0QY,6,RSE,August,Keysight,Google,NO,External,Site,4.72,05/15/2019,10,1193222,,Completed,,,
89133,Approved,Data Switch,GYY06BWN8DG,12,RS,Jeremy,Dell,Cakewalk,NO,Internal,Site,5.71,05/15/2019,11,1189133,,Completed,,,
21892,Approved,Datapaq Q18,ESW23MMN8XE,12,HS,Oleg,Dell,Cakewalk,YES,External,In-site,1.14,05/15/2019,12,1121892,,Completed,,,
25734,In review,Tenma DMM,ZEC81CXW1GK,3,HS,Maisie,PP,Apple Systems,YES,Internal,In-site,0.39,05/16/2019,13,1125734,,Completed,,,
51542,Approved,Ionizer Fan,DXJ82BCQ6RP,6,ISL,Cleo,Dell,Chami,NO,Internal,In-site,1.09,05/16/2019,14,1151542,,Completed,,,
49518,Completed,Datapaq Q18,WDE27PRT6LV,6,RS,Urielle,Dell,Yahoo,NO,External,In-site,1.8,05/16/2019,15,1149518,,Completed,,,
29444,In review,DC Power Supply,IMK60TQK9KP,12,RSE,Ashely,PP,Finale,YES,Internal,Site,4.66,05/16/2019,16,1129444,,Completed,,,
63808,Completed,Fluke117,WUJ97PHO6PK,6,ISL,Raymond,Keysight,Microsoft,YES,Internal,Site,1.21,05/17/2019,17,1163808,,Completed,,,
62688,Approved,Tenma DMM,OWQ83WKB5CU,12,RSE,Jesse,Dell,Microsoft,NO,External,In-site,8.62,05/17/2019,18,1162688,,Completed,,,
99989,Completed,Ionizer Fan,PMB68GLK9NR,12,RS,Beck,Dell,Adobe,YES,External,In-site,6.53,05/17/2019,19,1199989,,Completed,,,
28626,Approved,Ionizer Fan,OOK68BLE6QV,3,RSE,Amanda,Honeywell,Borland,YES,Internal,In-site,7.59,05/17/2019,20,1128626,,Completed,,,
92221,Approved,DC Power Supply,QPE50ZHO2CV,12,HS,Catherine,Dell,Borland,YES,External,In-site,4.21,05/17/2019,21,1192221,,Completed,,,
30839,In review,DC Power Supply,VZT67ZSM7IA,6,RS,Kato,Dell,Finale,NO,Internal,Site,2.98,05/18/2019,22,1130839,,Completed,,,
39,Completed,Data Switch,GFF98XAE1TB,3,HS,Alden,PP,Sibelius,YES,Internal,In-site,1.64,05/18/2019,23,1139,,Completed,,,
33,In review,Fluke117,PEJ68ACR3LW,12,RS,Marshall,PP,Sibelius,YES,External,Site,6.7,05/18/2019,24,1133,,Completed,,,
55284,Completed,Fluke117,YUY92KFI9MX,3,SS,Neil,Honeywell,Lycos,YES,Internal,Site,3.85,05/18/2019,25,1155284,,Completed,,,
77549,Completed,Ionizer Fan,GYF97FIK1BN,12,RSE,Victoria,Honeywell,Finale,YES,Internal,In-site,9.1,05/19/2019,26,1177549,,Completed,,,
16527,Completed,Tenma DMM,AEK69NIF2RQ,6,HS,Levi,Keysight,Lycos,NO,External,In-site,7.11,05/19/2019,27,1116527,,Completed,,,
60675,Completed,DC Power Supply,JSG11TJC8CR,12,HS,Amelia,Honeywell,Altavista,NO,External,Site,3.04,05/19/2019,28,1160675,,Completed,,,
36880,In review,Fluke115,ZQC01ENA6FI,3,RS,Petra,Honeywell,Microsoft,YES,External,In-site,2.15,05/19/2019,29,1136880,,Completed,,,
74249,Completed,Fluke115,SZU44TMK7BI,12,HS,Neil,PP,Borland,NO,Internal,Site,5.56,05/20/2019,30,1174249,,Completed,,,
28851,In review,DC Power Supply,HZW17QRX6KO,12,RS,Prescott,Honeywell,Yahoo,YES,External,Site,0.36,05/20/2019,31,1128851,,Completed,,,
56264,In review,Tenma DMM,NDY54WXB4BX,3,SS,Yasir,Dell,Altavista,YES,Internal,Site,2.63,05/20/2019,32,1156264,,Completed,,,
50802,Completed,Ionizer Fan,PFM03USU8EF,12,ISL,Leroy,Dell,Yahoo,YES,External,In-site,7.17,05/20/2019,33,1150802,,Completed,,,
61444,Approved,Fluke115,JBB83ORN1LU,3,RSE,Conan,Dell,Apple Systems,NO,External,Site,5.69,05/21/2019,34,1161444,,Completed,,,
60799,Approved,Ionizer Fan,UIF18YBM1AF,12,RSE,Gisela,Honeywell,Sibelius,YES,External,In-site,4.74,05/21/2019,35,1160799,,Completed,,,
40699,In review,Fluke117,DQX83MEP5IB,3,HS,Geoffrey,Honeywell,Chami,YES,External,In-site,9.14,05/21/2019,36,1140699,,Completed,,,
76526,Completed,Data Switch,XZC80EVG4LV,6,SS,Stone,Keysight,Cakewalk,YES,External,Site,2.81,05/21/2019,37,1176526,,Completed,,,
5730,Completed,Fluke115,WFY67RXU5ZY,12,SS,Melodie,Dell,Lycos,NO,External,In-site,4.21,05/21/2019,38,115730,,Completed,,,
38114,In review,DC Power Supply,QAC63VDT3ZZ,6,ISL,Grant,Honeywell,Yahoo,YES,External,Site,1.65,05/22/2019,39,1138114,,Completed,,,
91931,Approved,DC Power Supply,OMW15CPR7UD,12,RSE,Hall,PP,Lycos,NO,Internal,In-site,8.55,05/22/2019,40,1191931,,Completed,,,
85016,In review,Ionizer Fan,MWA21XGI7VA,12,HS,Edward,Dell,Finale,YES,Internal,In-site,4.03,05/22/2019,41,1185016,,Completed,,,
95946,Approved,Data Switch,MQY89LNJ1UZ,3,RSE,Maryam,Dell,Macromedia,NO,External,In-site,3.03,05/23/2019,42,1195946,,Rejected,,,
79727,In review,Datapaq Q18,AYZ76ODL7SS,6,RS,Yoshi,PP,Google,NO,Internal,Site,6.95,05/23/2019,43,1179727,,Rejected,,,
71722,Completed,Ionizer Fan,RHV10XLI3NY,3,SS,Eleanor,Honeywell,Lycos,YES,External,Site,8.21,05/23/2019,44,1171722,,Rejected,,,
88047,Completed,Tenma DMM,MRB47OHR4JR,6,RS,Brent,Dell,Microsoft,NO,External,In-site,2.98,05/23/2019,45,1188047,,Rejected,,,
96234,Completed,Caliper,UZK22VQZ8FN,3,ISL,Laith,Keysight,Macromedia,YES,External,In-site,6.85,05/23/2019,46,1196234,,Rejected,,,
566,Completed,Ionizer Fan,YAJ62SAT6IX,12,RSE,Imelda,Dell,Finale,YES,External,In-site,4.87,05/23/2019,47,11566,,Rejected,,,
73439,In review,Ionizer Fan,WSQ92QXS8UT,12,ISL,Lael,Keysight,Lycos,NO,External,Site,3.58,05/23/2019,48,1173439,,Rejected,,,
18546,Completed,Data Switch,RNQ99WEI7QT,3,HS,Jennifer,PP,Adobe,NO,Internal,Site,3.3,05/24/2019,49,1118546,,Rejected,,,
72353,Approved,Fluke115,FQT65CWT3AE,3,RSE,Chester,PP,Google,NO,Internal,Site,4.78,05/24/2019,50,1172353,,Rejected,,,
55674,Completed,Data Switch,ERX91FGE2BV,6,ISL,Hilda,PP,Microsoft,YES,External,In-site,1.6,05/24/2019,51,1155674,,Rejected,,,
96001,In review,Ionizer Gun,NYH69NUT5WC,6,HS,Raya,PP,Borland,NO,External,In-site,5.28,05/24/2019,52,1196001,,Rejected,,,
13705,Completed,Fluke117,KRM27WPE3UG,3,RS,Armand,Keysight,Chami,YES,External,In-site,6.39,05/24/2019,53,1113705,,Rejected,,,
13459,Completed,Fluke117,XJY89LFK1YA,6,RSE,Karen,PP,Lavasoft,YES,Internal,Site,0.24,05/25/2019,54,1113459,,Rejected,,,
66065,Completed,Tenma DMM,VGY15MXE8YR,3,HS,Amelia,Honeywell,Apple Systems,NO,Internal,Site,0.71,05/25/2019,55,1166065,,Rejected,,,
74534,Completed,Ionizer Gun,JRM56MBA8DI,12,HS,Yoko,Honeywell,Borland,NO,External,Site,6.68,05/25/2019,56,1174534,,Rejected,,,
26697,Approved,Datapaq Q18,WZS03TMZ6MX,3,RSE,Alvin,Dell,Yahoo,NO,External,In-site,6.72,05/25/2019,57,1126697,,Rejected,,,
16294,In review,Datapaq Q18,VIY04OQN7JB,3,HS,Sybill,Dell,Lavasoft,NO,External,Site,6.69,05/25/2019,58,1116294,,Rejected,,,
86947,In review,Datapaq Q18,IUK51VBK0UT,12,ISL,Alden,Honeywell,Adobe,YES,Internal,In-site,6.4,05/25/2019,59,1186947,,Completed,,,
31214,Completed,Caliper,FGW27BLA3BJ,12,RSE,Rudyard,Keysight,Macromedia,NO,Internal,In-site,9.28,05/25/2019,60,1131214,,Completed,,,
